epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
94,669.347,1.01954,1.13658,0.00136,0.46276,0.44534,0.50533,0.38468,0.93724,1.44408,0.00172,0.000902728,0.000902728,0.000902728
95,673.762,1.15861,1.43793,0.00179,0.46276,0.44534,0.50533,0.38468,0.93724,1.44408,0.00172,0.000897069,0.000897069,0.000897069
96,677.755,1.1148,1.147,0.00129,0.49826,0.43406,0.5075,0.3893,0.87752,1.44919,0.00158,0.00089141,0.00089141,0.00089141
97,681.084,1.03344,1.39121,0.00156,0.49826,0.43406,0.5075,0.3893,0.87752,1.44919,0.00158,0.000885751,0.000885751,0.000885751
98,684.83,0.97791,1.18713,0.00131,0.47342,0.43936,0.51287,0.40578,0.81696,1.41465,0.00145,0.000880093,0.000880093,0.000880093
99,688.982,1.03693,1.08666,0.00137,0.47342,0.43936,0.51287,0.40578,0.81696,1.41465,0.00145,0.000874434,0.000874434,0.000874434
100,692.731,0.98596,1.27394,0.00145,0.48843,0.45413,0.51717,0.38911,0.90585,1.39269,0.0017,0.000868775,0.000868775,0.000868775
101,696.282,1.08243,1.17533,0.00155,0.48843,0.45413,0.51717,0.38911,0.90585,1.39269,0.0017,0.000863116,0.000863116,0.000863116
102,700.814,1.01907,1.21426,0.00158,0.49149,0.44585,0.51478,0.38523,0.91498,1.36459,0.00172,0.000857457,0.000857457,0.000857457
103,704.125,1.15577,1.14228,0.00161,0.49149,0.44585,0.51478,0.38523,0.91498,1.36459,0.00172,0.000851798,0.000851798,0.000851798
104,707.728,0.995,1.09237,0.0013,0.49492,0.43883,0.50971,0.39596,0.79843,1.34414,0.00142,0.000846139,0.000846139,0.000846139
105,711.241,1.17582,1.26338,0.00149,0.49492,0.43883,0.50971,0.39596,0.79843,1.34414,0.00142,0.000840481,0.000840481,0.000840481
