epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
108,1181.05,0.7701,0.61554,0.00108,0.80972,0.55505,0.60967,0.43757,0.93569,0.62717,0.00174,0.000808625,0.000808625,0.000808625
109,1190.99,0.80511,0.57475,0.00106,0.82388,0.58258,0.59855,0.43261,0.9784,0.64042,0.0018,0.0008045,0.0008045,0.0008045
110,1200.84,0.72772,0.50524,0.00102,0.86774,0.56434,0.60015,0.44369,0.88653,0.65535,0.00167,0.000800375,0.000800375,0.000800375
111,1211.18,0.77343,0.57104,0.00103,0.88298,0.54617,0.62145,0.45021,0.87012,0.63939,0.00168,0.00079625,0.00079625,0.00079625
112,1222.31,0.78359,0.51607,0.00102,0.87774,0.55258,0.63531,0.44945,0.8892,0.63544,0.00167,0.000792125,0.000792125,0.000792125
113,1232.08,0.78166,0.53204,0.00105,0.86611,0.54735,0.63322,0.44479,0.91916,0.6533,0.00171,0.000788,0.000788,0.000788
114,1242.69,0.78774,0.4983,0.0011,0.52159,0.83513,0.63012,0.42999,0.93634,0.65756,0.00174,0.000783875,0.000783875,0.000783875
115,1254.84,0.78919,0.57481,0.00109,0.57311,0.7961,0.77799,0.45387,0.92974,0.6855,0.00175,0.00077975,0.00077975,0.00077975
116,1267.16,0.71885,0.49797,0.001,0.69743,0.76731,0.77984,0.48419,0.90059,0.67579,0.00172,0.000775625,0.000775625,0.000775625
117,1276.18,0.77152,0.53003,0.00107,0.6034,0.79998,0.78324,0.48607,0.92458,0.67871,0.00179,0.0007715,0.0007715,0.0007715
118,1288.01,0.75921,0.58367,0.00121,0.66194,0.8248,0.78407,0.46573,0.89321,0.6695,0.00166,0.000767375,0.000767375,0.000767375
119,1299.48,0.75479,0.52077,0.00099,0.70325,0.83344,0.78904,0.46697,0.88478,0.62874,0.00167,0.00076325,0.00076325,0.00076325
120,1309.84,0.76937,0.53121,0.00106,0.6881,0.83283,0.7985,0.46684,0.88738,0.68373,0.00171,0.000759125,0.000759125,0.000759125
121,1320.33,0.71916,0.52056,0.00106,0.67844,0.83937,0.79614,0.47142,0.88835,0.64937,0.00169,0.000755,0.000755,0.000755
122,1333.43,0.7255,0.45156,0.00095,0.57815,0.84159,0.64416,0.43973,0.93443,0.61581,0.00173,0.000750875,0.000750875,0.000750875
123,1341.54,0.74318,0.50605,0.00103,0.8335,0.55629,0.62551,0.44281,0.93574,0.6576,0.00175,0.00074675,0.00074675,0.00074675
124,1354.65,0.77234,0.52442,0.00101,0.82497,0.56225,0.5953,0.43322,0.93289,0.66955,0.00172,0.000742625,0.000742625,0.000742625
125,1365.45,0.81895,0.57772,0.00114,0.81533,0.57569,0.59114,0.43781,0.90764,0.65561,0.00168,0.0007385,0.0007385,0.0007385
126,1376.26,0.75044,0.51799,0.00102,0.79322,0.58047,0.59838,0.44479,0.87282,0.61309,0.00164,0.000734375,0.000734375,0.000734375
127,1387.47,0.73151,0.46892,0.001,0.79777,0.55571,0.60271,0.43135,0.91682,0.65445,0.00172,0.00073025,0.00073025,0.00073025
128,1398.54,0.71714,0.47732,0.00101,0.81834,0.55602,0.6821,0.46332,0.89059,0.65878,0.00168,0.000726125,0.000726125,0.000726125
129,1409.12,0.73053,0.48244,0.00109,0.57285,0.84983,0.6856,0.46929,0.86655,0.6497,0.00159,0.000722,0.000722,0.000722
130,1420.01,0.81338,0.58027,0.00111,0.52371,0.85024,0.68151,0.46701,0.87992,0.61536,0.00163,0.000717875,0.000717875,0.000717875
131,1430.17,0.73431,0.46578,0.00109,0.78992,0.5611,0.66834,0.45905,0.85664,0.60994,0.00159,0.00071375,0.00071375,0.00071375
132,1441.35,0.70933,0.44252,0.001,0.79081,0.5611,0.62675,0.45355,0.8738,0.60652,0.00168,0.000709625,0.000709625,0.000709625
133,1453.2,0.72338,0.44091,0.00101,0.79307,0.5611,0.62061,0.4626,0.83782,0.58142,0.00159,0.0007055,0.0007055,0.0007055
134,1463.25,0.80039,0.53572,0.001,0.78774,0.5493,0.61892,0.45214,0.89756,0.60911,0.00165,0.000701375,0.000701375,0.000701375
135,1473.53,0.77868,0.50359,0.00107,0.77355,0.59239,0.64764,0.4395,0.95422,0.6136,0.00178,0.00069725,0.00069725,0.00069725
136,1485.98,0.74117,0.52251,0.00101,0.52687,0.85024,0.68638,0.47599,0.84825,0.56295,0.00157,0.000693125,0.000693125,0.000693125
137,1495.59,0.74003,0.51197,0.00117,0.5632,0.85024,0.68539,0.46999,0.86906,0.56638,0.00161,0.000689,0.000689,0.000689
138,1505.15,0.71756,0.60859,0.00101,0.56682,0.84425,0.63852,0.45207,0.89689,0.58071,0.00163,0.000684875,0.000684875,0.000684875
139,1515.97,0.76641,0.48125,0.00099,0.54267,0.78804,0.6176,0.44561,0.93908,0.63583,0.00168,0.00068075,0.00068075,0.00068075
140,1526.24,0.76473,0.4967,0.00116,0.78048,0.57776,0.56306,0.42365,0.88799,0.63688,0.00167,0.000676625,0.000676625,0.000676625
141,1537.19,0.78927,0.51049,0.0012,0.77407,0.57776,0.56822,0.42352,0.90642,0.6411,0.00169,0.0006725,0.0006725,0.0006725
142,1546.82,0.77404,0.54048,0.00106,0.80389,0.57405,0.57873,0.43634,0.88212,0.62128,0.00163,0.000668375,0.000668375,0.000668375
143,1557.59,0.80504,0.4752,0.0012,0.80438,0.58369,0.59798,0.44291,0.96086,0.5998,0.00182,0.00066425,0.00066425,0.00066425
144,1569.43,0.75845,0.46706,0.00113,0.82493,0.55652,0.60515,0.44841,0.87324,0.58077,0.00163,0.000660125,0.000660125,0.000660125
145,1581.08,0.74885,0.46669,0.00107,0.8436,0.55229,0.60166,0.44993,0.87363,0.5992,0.00163,0.000656,0.000656,0.000656
146,1592.42,0.7447,0.47009,0.00106,0.59107,0.54346,0.6022,0.44623,0.86726,0.61812,0.00166,0.000651875,0.000651875,0.000651875
147,1604.67,0.72622,0.47997,0.00107,0.81669,0.54041,0.60332,0.42958,0.94531,0.62766,0.00185,0.00064775,0.00064775,0.00064775
148,1614.26,0.7169,0.43285,0.00103,0.82485,0.56121,0.61627,0.45275,0.86533,0.5733,0.00161,0.000643625,0.000643625,0.000643625
149,1622.76,0.7249,0.45448,0.001,0.82995,0.58845,0.62872,0.46846,0.83593,0.55773,0.00157,0.0006395,0.0006395,0.0006395
