epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,1521.51,0.66942,0.47937,0.82617,0.58726,0.81343,0.6204,0.44776,0.79664,0.59588,0.85263,0.000651875,0.000651875,0.000651875
147,1532.73,0.61994,0.45904,0.81628,0.47759,0.60024,0.59942,0.43969,0.77134,0.58219,0.85424,0.00064775,0.00064775,0.00064775
148,1542.3,0.64274,0.4574,0.81971,0.52156,0.59924,0.56883,0.41571,0.78388,0.58003,0.85618,0.000643625,0.000643625,0.000643625
149,1550.94,0.62449,0.4542,0.81165,0.49107,0.62906,0.57524,0.41599,0.80816,0.57998,0.85954,0.0006395,0.0006395,0.0006395
150,1562.84,0.63169,0.4676,0.81201,0.61767,0.81179,0.64089,0.42781,0.7951,0.59982,0.86512,0.000635375,0.000635375,0.000635375
151,1572.67,0.61907,0.44823,0.81732,0.61897,0.80012,0.6386,0.44207,0.81314,0.62945,0.86324,0.00063125,0.00063125,0.00063125
152,1583.14,0.62755,0.45447,0.81814,0.61187,0.82114,0.61179,0.4271,0.76953,0.58532,0.85346,0.000627125,0.000627125,0.000627125
153,1592.69,0.64202,0.47204,0.81919,0.60849,0.80012,0.61958,0.44088,0.74518,0.57102,0.84898,0.000623,0.000623,0.000623
154,1602.43,0.59349,0.42746,0.81055,0.58341,0.77234,0.60998,0.43278,0.78982,0.57863,0.84908,0.000618875,0.000618875,0.000618875
155,1611.95,0.64558,0.48614,0.81314,0.60238,0.78779,0.63089,0.44598,0.77763,0.56003,0.85301,0.00061475,0.00061475,0.00061475
156,1623.6,0.5733,0.42878,0.81397,0.69096,0.76068,0.6817,0.46995,0.77326,0.57114,0.85248,0.000610625,0.000610625,0.000610625
157,1632.84,0.61023,0.4413,0.81127,0.74755,0.75434,0.80716,0.50404,0.7801,0.58006,0.85344,0.0006065,0.0006065,0.0006065
158,1642.15,0.62203,0.45225,0.80748,0.8205,0.82071,0.83472,0.49177,0.82883,0.56085,0.85626,0.000602375,0.000602375,0.000602375
159,1652.3,0.65185,0.45268,0.81125,0.67925,0.85568,0.71412,0.47801,0.77518,0.5602,0.85173,0.00059825,0.00059825,0.00059825
160,1662.44,0.59845,0.44584,0.8068,0.68627,0.85537,0.71224,0.48566,0.77034,0.54823,0.85491,0.000594125,0.000594125,0.000594125
161,1671.36,0.6265,0.45308,0.80901,0.7103,0.82184,0.70591,0.47951,0.78662,0.54923,0.85933,0.00059,0.00059,0.00059
162,1682.65,0.6277,0.43551,0.8105,0.71721,0.82676,0.69701,0.49701,0.76415,0.54523,0.8535,0.000585875,0.000585875,0.000585875
163,1692.37,0.62558,0.45586,0.82019,0.75746,0.8279,0.70042,0.48059,0.77728,0.55599,0.85424,0.00058175,0.00058175,0.00058175
164,1704.23,0.63968,0.46641,0.811,0.76237,0.81396,0.6953,0.48501,0.76605,0.56909,0.85347,0.000577625,0.000577625,0.000577625
165,1712.94,0.61747,0.45221,0.80895,0.66986,0.82394,0.6503,0.47453,0.74645,0.56626,0.8515,0.0005735,0.0005735,0.0005735
166,1723.99,0.67624,0.46139,0.81507,0.64178,0.79136,0.61835,0.45045,0.7417,0.5708,0.84953,0.000569375,0.000569375,0.000569375
167,1734.19,0.64001,0.444,0.8123,0.65086,0.78884,0.60913,0.42901,0.76172,0.60563,0.85283,0.00056525,0.00056525,0.00056525
168,1744.93,0.59888,0.43461,0.8048,0.6902,0.76926,0.64904,0.42696,0.80119,0.60629,0.86752,0.000561125,0.000561125,0.000561125
169,1755.07,0.61596,0.50299,0.82359,0.69358,0.77131,0.78385,0.46153,0.82284,0.60874,0.87291,0.000557,0.000557,0.000557
170,1764.21,0.60038,0.42432,0.80945,0.81,0.73064,0.76376,0.45142,0.7894,0.6052,0.87718,0.000552875,0.000552875,0.000552875
171,1774.58,0.61107,0.42634,0.80531,0.75977,0.72958,0.7702,0.45279,0.80977,0.61902,0.87252,0.00054875,0.00054875,0.00054875
172,1784.45,0.6219,0.4371,0.8143,0.76684,0.75739,0.77211,0.51165,0.79242,0.60171,0.8711,0.000544625,0.000544625,0.000544625
173,1795.64,0.60722,0.44348,0.81198,0.77201,0.76371,0.77341,0.50667,0.76953,0.60068,0.86966,0.0005405,0.0005405,0.0005405
