epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,394.144,0.81028,0.75788,0.85954,0.70358,0.81624,0.77929,0.63835,0.82569,0.99452,0.88393,0.000727304,0.000727304,0.000727304
126,397.104,1.02036,0.80737,0.84112,0.72122,0.78996,0.78424,0.65905,0.80385,0.98894,0.8795,0.000721645,0.000721645,0.000721645
127,400.877,0.80989,0.82549,0.83501,0.72122,0.78996,0.78424,0.65905,0.80385,0.98894,0.8795,0.000715986,0.000715986,0.000715986
128,403.664,0.86732,0.81763,0.85707,0.74074,0.7541,0.78286,0.66157,0.78842,0.99324,0.87932,0.000710327,0.000710327,0.000710327
129,406.136,0.82839,0.85782,0.86576,0.74074,0.7541,0.78286,0.66157,0.78842,0.99324,0.87932,0.000704668,0.000704668,0.000704668
130,408.732,0.90246,0.796,0.86589,0.73189,0.73208,0.77952,0.65465,0.81742,1.00336,0.88629,0.00069901,0.00069901,0.00069901
131,412.408,0.78215,0.78916,0.85836,0.73189,0.73208,0.77952,0.65465,0.81742,1.00336,0.88629,0.000693351,0.000693351,0.000693351
132,415.526,0.82272,0.74733,0.8457,0.70696,0.77306,0.77767,0.65104,0.82199,0.9696,0.88399,0.000687692,0.000687692,0.000687692
133,418.142,0.94595,0.80728,0.84685,0.70696,0.77306,0.77767,0.65104,0.82199,0.9696,0.88399,0.000682033,0.000682033,0.000682033
134,420.598,0.89579,0.78899,0.8532,0.75159,0.77713,0.77878,0.64645,0.79832,0.96461,0.87801,0.000676374,0.000676374,0.000676374
135,423.158,0.84882,0.75377,0.84641,0.75159,0.77713,0.77878,0.64645,0.79832,0.96461,0.87801,0.000670715,0.000670715,0.000670715
136,427.156,0.96825,0.85762,0.85099,0.74639,0.80642,0.78565,0.66298,0.78644,0.95067,0.8742,0.000665057,0.000665057,0.000665057
137,429.652,0.87366,0.78077,0.86088,0.74639,0.80642,0.78565,0.66298,0.78644,0.95067,0.8742,0.000659398,0.000659398,0.000659398
138,432.246,0.85157,0.8315,0.85457,0.75963,0.81275,0.79864,0.68034,0.80052,0.92998,0.8768,0.000653739,0.000653739,0.000653739
139,434.999,0.78012,0.76303,0.84298,0.75963,0.81275,0.79864,0.68034,0.80052,0.92998,0.8768,0.00064808,0.00064808,0.00064808
140,437.763,0.89714,0.76276,0.85285,0.65121,0.84763,0.75891,0.62016,0.77438,0.92182,0.87353,0.000642421,0.000642421,0.000642421
141,441.095,0.90048,0.89759,0.85053,0.65121,0.84763,0.75891,0.62016,0.77438,0.92182,0.87353,0.000636762,0.000636762,0.000636762
142,443.728,0.92226,0.81398,0.87256,0.66907,0.817,0.76608,0.64414,0.80126,0.92254,0.87729,0.000631104,0.000631104,0.000631104
143,446.238,0.76737,0.75072,0.8345,0.66907,0.817,0.76608,0.64414,0.80126,0.92254,0.87729,0.000625445,0.000625445,0.000625445
144,449.036,0.86651,0.7913,0.85262,0.61313,0.81643,0.74602,0.59561,0.91727,0.9659,0.88989,0.000619786,0.000619786,0.000619786
145,452.338,0.92485,0.77633,0.84445,0.61313,0.81643,0.74602,0.59561,0.91727,0.9659,0.88989,0.000614127,0.000614127,0.000614127
146,455.517,0.85094,0.76004,0.84474,0.5755,0.83635,0.72419,0.57452,0.91392,0.98331,0.8902,0.000608468,0.000608468,0.000608468
147,458.592,0.88615,0.74422,0.83775,0.5755,0.83635,0.72419,0.57452,0.91392,0.98331,0.8902,0.000602809,0.000602809,0.000602809
